cbsa_fips,name,npl_sites,sqmi,sfund_per_sqmi
28940,"Knoxville, TN",1,3649.246260008936,2.740291908931219e-4
29020,"Kokomo, IN",1,293.5697609802022,0.0034063453833293074
29100,"La Crosse-Onalaska, WI-MN",1,1046.8189196838673,9.552750539720792e-4
29180,"Lafayette, LA",3,3663.957171736392,8.187868633241324e-4
29200,"Lafayette-West Lafayette, IN",1,1283.0133912386616,7.794150917119956e-4
29340,"Lake Charles, LA",2,2736.552735224903,7.308465041641635e-4
29460,"Lakeland-Winter Haven, FL",2,2013.5373776129643,9.93276818318112e-4
29540,"Lancaster, PA",2,982.6876353298878,0.0020352347257616616
29620,"Lansing-East Lansing, MI",4,1711.7874151269116,0.0023367387589442235
29700,"Laredo, TX",0,3382.4117552573757,0
29740,"Las Cruces, NM",1,3818.271229631319,2.6189862895008564e-4
29820,"Las Vegas-Henderson-Paradise, NV",0,8059.0677750412315,0
29940,"Lawrence, KS",0,474.1993804342535,0
30020,"Lawton, OK",0,1726.2409077915088,0
30140,"Lebanon, PA",1,362.0973177135032,0.002761688504942793
30300,"Lewiston, ID-WA",0,1492.969091809419,0
30340,"Lewiston-Auburn, ME",0,496.07219152569854,0
30460,"Lexington-Fayette, KY",0,1483.3174090128875,0
30620,"Lima, OH",0,406.4826666523477,0
30700,"Lincoln, NE",0,1420.5145420628173,0
30780,"Little Rock-North Little Rock-Conway, AR",2,4198.889201599032,4.7631645036938687e-4
30860,"Logan, UT-ID",0,1837.7876987992472,0
30980,"Longview, TX",1,1807.9496943435518,5.531127349000106e-4
31020,"Longview, WA",0,1163.5747437140117,0
31080,"Los Angeles-Long Beach-Anaheim, CA",19,4901.225977149276,0.0038765811020717435
31140,"Louisville/Jefferson County, KY-IN",6,3637.760558155723,0.0016493663901402814
31180,"Lubbock, TX",0,2696.6069343610216,0
31340,"Lynchburg, VA",0,2145.7523578725313,0
31420,"Macon-Bibb County, GA",0,1738.6218749156642,0
31460,"Madera, CA",0,2151.7818983170387,0
31540,"Madison, WI",5,3380.013015745264,0.0014792842443825745
31700,"Manchester-Nashua, NH",6,890.747459537947,0.006735915927408146
31900,"Mansfield, OH",0,499.5032370274411,0
32580,"McAllen-Edinburg-Mission, TX",0,1586.940420233931,0
32780,"Medford, OR",0,2797.0869526310303,0
32820,"Memphis, TN-MS-AR",10,5108.407014484788,0.001957557409118967
32900,"Merced, CA",1,1977.884410387905,5.05590718420132e-4
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20,5481.615500642956,0.0036485594434075386
33140,"Michigan City-La Porte, IN",2,603.0991569906607,0.003316204270587251
33260,"Midland, TX",0,1818.8728542949873,0
33340,"Milwaukee-Waukesha-West Allis, WI",7,1491.7409992110343,0.004692503593922957
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,8101.443438984019,0.003332739431355704
33540,"Missoula, MT",1,2610.9914451323452,3.8299627594119224e-4
33660,"Mobile, AL",3,1269.892208666483,0.002362405233709015
33700,"Modesto, CA",3,1513.0996226404588,0.0019826850493590118
33740,"Monroe, LA",1,1537.6956829360533,6.503237351168306e-4
33780,"Monroe, MI",1,563.5612069013068,0.0017744301555077124
33860,"Montgomery, AL",2,2788.136959325967,7.173248764951276e-4
34060,"Morgantown, WV",1,1016.462352969619,9.838042669051896e-4
34100,"Morristown, TN",0,489.96075250855284,0
34580,"Mount Vernon-Anacortes, WA",0,1755.1627565866388,0
34620,"Muncie, IN",0,395.4182991470622,0
34740,"Muskegon, MI",9,526.4270380783698,0.017096386296670724
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1,2038.597214870762,4.905333886975783e-4
34900,"Napa, CA",0,788.005710561876,0
34940,"Naples-Immokalee-Marco Island, FL",0,2107.6520785868406,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,6376.8660813868855,1.5681684188395453e-4
35300,"New Haven-Milford, CT",5,620.4552263742111,0.008058599214674651
35380,"New Orleans-Metairie, LA",4,4825.44747989032,8.289386666562409e-4
35620,"New York-Newark-Jersey City, NY-NJ-PA",129,9016.409572282106,0.014307247132668725
35660,"Niles-Benton Harbor, MI",3,579.6614884282138,0.005175434386946554
35840,"North Port-Sarasota-Bradenton, FL",0,1403.5779095134553,0
35980,"Norwich-New London, CT",1,696.9815964230116,0.0014347581128857823
36100,"Ocala, FL",0,1664.8229658541297,0
36140,"Ocean City, NJ",1,285.61078821061653,0.0035012683038519363
36220,"Odessa, TX",3,902.2933128971632,0.0033248611699972976
36260,"Ogden-Clearfield, UT",4,8620.551392075855,4.640074419922677e-4
36420,"Oklahoma City, OK",3,5581.292212541202,5.375099324237099e-4
36500,"Olympia-Tumwater, WA",1,758.2696017969063,0.0013187921520660384
36540,"Omaha-Council Bluffs, NE-IA",3,4401.144757987212,6.816408377742155e-4
36740,"Orlando-Kissimmee-Sanford, FL",4,4017.0159920160913,9.957640218386209e-4
36780,"Oshkosh-Neenah, WI",0,577.3221792219887,0
36980,"Owensboro, KY",3,931.5069275593919,0.0032205879647725145
37100,"Oxnard-Thousand Oaks-Ventura, CA",1,1857.8295191307118,5.382625207009873e-4
37340,"Palm Bay-Melbourne-Titusville, FL",1,1296.8918209336737,7.7107433623883e-4
37460,"Panama City, FL",1,1454.2086828429362,6.876592141129488e-4
37620,"Parkersburg-Vienna, WV",1,611.0986608951296,0.0016363969748112567
37860,"Pensacola-Ferry Pass-Brent, FL",8,1896.2542057486971,0.004218843642243295
37900,"Peoria, IL",0,2514.798754391036,0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",90,4741.805436078973,0.018980112367162315
38060,"Phoenix-Mesa-Scottsdale, AZ",6,14605.167356362941,4.1081350549441103e-4
38220,"Pine Bluff, AR",0,2085.383528760143,0
38300,"Pittsburgh, PA",6,5336.256652829092,0.0011243837001016462
38340,"Pittsfield, MA",2,944.7974627248163,0.0021168558118604135
38540,"Pocatello, ID",2,1146.1324149715008,0.001744999071551197
38860,"Portland-South Portland, ME",5,2270.123453311686,0.0022025233881910406
38900,"Portland-Vancouver-Hillsboro, OR-WA",16,6808.141644294597,0.0023501273674892504
38940,"Port St. Lucie, FL",2,1291.9143967166742,0.001548090186999142
39140,"Prescott, AZ",0,8129.437700430463,0
39300,"Providence-Warwick, RI-MA",19,1686.5892317159582,0.011265339326677158
39340,"Provo-Orem, UT",1,5542.84141016046,1.8041288321309754e-4
39380,"Pueblo, CO",0,2397.3333612805773,0
39460,"Punta Gorda, FL",0,748.0614581611219,0
39540,"Racine, WI",1,340.0334834484781,0.0029408868499020044
39580,"Raleigh, NC",3,2147.3103642808974,0.0013970965957707077
39660,"Rapid City, SD",1,7810.626277930042,1.2803070642691385e-4
39740,"Reading, PA",8,864.9433456674149,0.009249160699452487
39820,"Redding, CA",1,3842.5549827545838,2.6024351102014353e-4
39900,"Reno, NV",0,6796.185849838512,0
40060,"Richmond, VA",4,4695.794660708134,8.518260036942913e-4
40140,"Riverside-San Bernardino-Ontario, CA",7,27413.52827158443,2.5534837875122664e-4
40220,"Roanoke, VA",2,1894.5906486569934,0.0010556370060296283
40340,"Rochester, MN",1,2501.1937898547553,3.998090847882963e-4
40380,"Rochester, NY",3,3344.556796881588,8.96979833859348e-4
40420,"Rockford, IL",8,799.9670643370971,0.010000411712736326
40580,"Rocky Mount, NC",0,1049.508496091972,0
40660,"Rome, GA",0,518.5961103514637,0
40900,"Sacramento--Roseville--Arden-Arcade, CA",6,5302.263498505369,0.0011315921967460336
40980,"Saginaw, MI",0,814.5240842417769,0
41060,"St. Cloud, MN",2,1798.866118588372,0.0011118114790940996
41100,"St. George, UT",0,2429.3774907655547,0
41140,"St. Joseph, MO-KS",1,1673.3407423052136,5.976069157453182e-4
41180,"St. Louis, MO-IL",16,8075.6195253243295,0.001981272142629505
41420,"Salem, OR",0,1930.7920883392858,0
41500,"Salinas, CA",3,3314.892752914249,9.050066543970647e-4
41540,"Salisbury, MD-DE",2,2294.5212688729425,8.716415171790454e-4
41620,"Salt Lake City, UT",12,8084.036508332899,0.0014844069528422573
41660,"San Angelo, TX",0,2594.5152842857465,0
41700,"San Antonio-New Braunfels, TX",1,7379.611617778956,1.355084863261368e-4
41740,"San Diego-Carlsbad, CA",1,4261.664072172438,2.3465012330036543e-4
41860,"San Francisco-Oakland-Hayward, CA",8,2561.273806279509,0.003123445834016767
41940,"San Jose-Sunnyvale-Santa Clara, CA",23,2689.939633497646,0.008550377753308094
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0,3323.6797369603255,0
42100,"Santa Cruz-Watsonville, CA",1,446.64012228092525,0.0022389390252115
42140,"Santa Fe, NM",0,1909.3941415116751,0
42200,"Santa Maria-Santa Barbara, CA",1,2751.9490328159372,3.633788228180767e-4
42220,"Santa Rosa, CA",1,1590.7283504160164,6.286428476228982e-4
42340,"Savannah, GA",0,1429.6163360579562,0
42540,"Scranton--Wilkes-Barre--Hazleton, PA",7,1773.956430177761,0.003945981919803159
42660,"Seattle-Tacoma-Bellevue, WA",17,5984.772226005844,0.0028405425232608346
42680,"Sebastian-Vero Beach, FL",1,541.126134933544,0.0018479979720861395
43100,"Sheboygan, WI",1,516.6994504432374,0.0019353610675261518
43300,"Sherman-Denison, TX",0,979.3488795062184,0
43340,"Shreveport-Bossier City, LA",2,3315.021688770641,6.033143031235158e-4
43580,"Sioux City, IA-NE-SD",1,2953.988954804643,3.385253009743001e-4
43620,"Sioux Falls, SD",1,2581.317599311275,3.873990555314896e-4
43780,"South Bend-Mishawaka, IN-MI",4,968.1857089899676,0.0041314387961508825
43900,"Spartanburg, SC",2,1335.4336647825173,0.0014976408433778033
44060,"Spokane-Spokane Valley, WA",11,5729.469009992172,0.0019198986818527235
44100,"Springfield, IL",0,1191.2694138784875,0
44140,"Springfield, MA",1,1177.6459511277553,8.491516478635746e-4
44180,"Springfield, MO",3,3019.3428807489026,9.935936786536464e-4
44220,"Springfield, OH",0,402.26088245595463,0
44300,"State College, PA",1,1111.5439009925744,8.996495766897114e-4
44700,"Stockton-Lodi, CA",3,1425.780922957134,0.0021041100716776774
44940,"Sumter, SC",0,682.4060599235087,0
45060,"Syracuse, NY",6,2480.883809339849,0.0024184929489287814
45220,"Tallahassee, FL",1,2476.2980422622263,4.0382861147297453e-4
45300,"Tampa-St. Petersburg-Clearwater, FL",15,2684.5577804787586,0.00558751244211437
45460,"Terre Haute, IN",1,1483.5963860168563,6.740377702622944e-4
45500,"Texarkana, TX-AR",3,2126.3202704790397,0.0014108881157983452
45780,"Toledo, OH",0,1374.05735199288,0
45820,"Topeka, KS",1,3287.2268509526843,3.0420778526744696e-4
45940,"Trenton, NJ",0,228.54912455162258,0
46060,"Tucson, AZ",1,9194.624129336444,1.0875920384927881e-4
46140,"Tulsa, OK",3,6458.587437763246,4.644978532703689e-4
46220,"Tuscaloosa, AL",0,2898.730067882385,0
46340,"Tyler, TX",0,950.2842012363388,0
46520,"Urban Honolulu, HI",4,620.2571596052395,0.006448938054251218
46540,"Utica-Rome, NY",1,2710.674777828959,3.6891183264741286e-4
46660,"Valdosta, GA",0,1630.2484054797364,0
46700,"Vallejo-Fairfield, CA",2,889.4073232044437,0.0022486884780689733
47020,"Victoria, TX",0,1750.4490738875463,0
47220,"Vineland-Bridgeton, NJ",5,500.9115714322442,0.009981801749365905
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",14,2920.92744475709,0.004792998205117781
47300,"Visalia-Porterville, CA",1,4837.81803434068,2.0670475675224203e-4
47380,"Waco, TX",0,1835.509991233208,0
47580,"Warner Robins, GA",2,782.986600384466,0.0025543221289073786
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",10,6399.735564492939,0.0015625645621175467
47940,"Waterloo-Cedar Falls, IA",1,1511.4323906126733,6.616240370465004e-4
48140,"Wausau, WI",3,1572.8195031034645,0.0019074025939279388
48260,"Weirton-Steubenville, WV-OH",1,590.8234873393852,0.0016925528883478063
48300,"Wenatchee, WA",0,4829.1048436269675,0
48540,"Wheeling, WV-OH",2,961.3398803333939,0.002080429659598016
48620,"Wichita, KS",5,5045.308419918967,9.910196927228297e-4
48660,"Wichita Falls, TX",0,2675.5406826812286,0
48700,"Williamsport, PA",1,1242.0943807882652,8.050917993569652e-4
48900,"Wilmington, NC",1,1102.2095141177929,9.07268524896012e-4
49020,"Winchester, VA-WV",1,1068.2562969806695,9.361049430051667e-4
49180,"Winston-Salem, NC",0,2039.619715095392,0
49340,"Worcester, MA-CT",6,2097.0637596698766,0.0028611433354532485
49420,"Yakima, WA",3,4299.498131060195,6.977558562771704e-4
49620,"York-Hanover, PA",5,909.6970315895413,0.005496335402197969
49660,"Youngstown-Warren-Boardman, OH-PA",4,1742.0306241262053,0.002296170885059143
49700,"Yuba City, CA",0,1251.4385020829723,0
49740,"Yuma, AZ",1,5522.151460309774,1.810888395922236e-4
