cbsa_fips,cbsa,prop_crimes_per100k,pop,burglary,larceny,moto_theft
10180,"Abilene, TX",3853.5465691305726,160761,1769,4075,351
10420,"Akron, OH",3710.4731970767175,702498,6081,17827,2158
10500,"Albany, GA",4325.433754445904,156886,2186,4187,413
10580,"Albany-Schenectady-Troy, NY",2637.8299188864084,854604,4516,16686,1341
10740,"Albuquerque, NM",4759.428374494009,809551,8566,24905,5059
10780,"Alexandria, LA",4769.147569796525,147930,1898,4659,498
10900,"Allentown-Bethlehem-Easton, PA-NJ",2549.3247754964214,787738,3484,15295,1303
11020,"Altoona, PA",2487.9665430442674,126730,774,2228,151
11100,"Amarillo, TX",5340.2945336550465,240380,2811,8893,1133
11180,"Ames, IA",2685.681192992616,82884,635,1524,67
11260,"Anchorage, AK",3553.688626201543,350903,1882,9165,1423
11460,"Ann Arbor, MI",2970.7743824400845,342234,2312,6919,936
11500,"Anniston-Oxford-Jacksonville, AL",4797.470234195515,114477,1484,3703,305
11540,"Appleton, WI",2124.8118559685076,215925,694,3749,145
11700,"Asheville, NC",3248.4208189542087,396408,3391,8217,1269
12020,"Athens-Clarke County, GA",4160.939577815772,178974,1327,5630,490
12060,"Atlanta-Sandy Springs-Roswell, GA",4178.210682747591,4770870,45446,124502,29389
12100,"Atlantic City-Hammonton, NJ",3991.3883668970007,270332,1855,8472,463
12220,"Auburn-Opelika, AL",4184.471946278928,126133,1204,3830,244
12260,"Augusta-Richmond County, GA-SC",4495.251216840394,531294,4786,16453,2644
12420,"Austin-Round Rock, TX",4082.338969476206,1453358,11235,44642,3454
12540,"Bakersfield, CA",4466.654222413852,760726,8472,19612,5895
12580,"Baltimore-Columbia-Towson, MD",3487.3276956514014,2644231,18067,62167,11979
12620,"Bangor, ME",2834.5110401667043,149726,780,3326,138
12700,"Barnstable Town, MA",2405.910043018987,221995,1855,3172,314
12940,"Baton Rouge, LA",4704.036724007038,733689,7646,24083,2784
12980,"Battle Creek, MI",4063.4491097260807,138946,1136,4207,303
13020,"Bay City, MI",2703.247377822562,109165,657,2104,190
13140,"Beaumont-Port Arthur, TX",4436.988642684493,395516,4850,11415,1284
13380,"Bellingham, WA",5135.616069021299,185450,1754,7174,596
13460,"Bend-Redmond, OR",4249.219233532764,140567,1111,4387,475
13740,"Billings, MT",4528.197740949663,148558,801,5498,428
13780,"Binghamton, NY",2451.1281774618387,252088,863,5189,127
13820,"Birmingham-Hoover, AL",4697.243348632721,1086318,12902,33731,4394
13900,"Bismarck, ND",2054.8979630363783,105942,277,1705,195
13980,"Blacksburg-Christiansburg-Radford, VA",2450.435697994035,170990,754,3247,189
14010,"Bloomington, IL",1259.215320735531,177015,610,1510,109
14020,"Bloomington, IN",3240.5926873467647,150096,1039,3524,301
14260,"Boise City, ID",3074.152619839848,546980,3496,11900,1419
14460,"Boston-Cambridge-Newton, MA-NH",2243.8879088176086,4418046,20635,65971,12530
14500,"Boulder, CO",3699.6727816415155,280241,1749,7778,841
14540,"Bowling Green, KY",2586.384133554462,145918,756,2819,199
14740,"Bremerton-Silverdale, WA",2909.435126727438,239806,1819,4572,586
14860,"Bridgeport-Stamford-Norwalk, CT",2222.9079610940976,897653,3402,14010,2542
15180,"Brownsville-Harlingen, TX",5086.642976308749,373429,3740,14297,958
15260,"Brunswick, GA",4485.285427254462,101532,1055,3239,260
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3039.450165119371,1148563,7564,23994,3352
15500,"Burlington, NC",4095.1540079390716,139311,1491,3935,279
15540,"Burlington-South Burlington, VT",3161.098931943456,206637,1433,4858,241
15940,"Canton-Massillon, OH",3691.308296805276,405168,3546,10358,1052
15980,"Cape Coral-Fort Myers, FL",3347.3926587619744,555029,4875,11341,2363
16180,"Carson City, NV",2588.331963845522,55982,386,948,115
16220,"Casper, WY",4740.997111066617,69922,687,2497,131
16300,"Cedar Rapids, IA",3213.9607303904722,247265,1446,6100,401
16580,"Champaign-Urbana, IL",2440.379403794038,221400,1659,3554,190
16620,"Charleston, WV",5584.15305556647,229041,3022,8578,1190
16700,"Charleston-North Charleston, SC",4330.509281931029,598313,5306,17647,2957
16740,"Charlotte-Concord-Gastonia, NC-SC",3991.8972912384033,1934168,20176,47524,9510
16820,"Charlottesville, VA",2392.974753018661,204975,667,3917,321
16860,"Chattanooga, TN-GA",4627.23494887542,499564,4495,16607,2014
16940,"Cheyenne, WY",3656.744272850278,85732,377,2624,134
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1846.716504055172,9276302,32808,111609,26890
17020,"Chico, CA",3415.5677246312025,214752,2235,3756,1344
17140,"Cincinnati, OH-KY-IN",3595.296852028757,2054879,14808,52762,6309
17300,"Clarksville, TN-KY",3139.2946265880582,237633,1956,5070,434
17420,"Cleveland, TN",3511.5620144410927,109410,925,2633,284
17460,"Cleveland-Elyria, OH",3037.2226344758415,2111699,15891,38744,9502
17660,"Coeur d'Alene, ID",3449.9730098752107,125972,911,3079,356
17780,"College Station-Bryan, TX",4350.859950859951,203500,2265,6213,376
17820,"Colorado Springs, CO",4082.8339951478283,587778,4652,17131,2215
17860,"Columbia, MO",3114.540346537981,148786,829,3534,271
17900,"Columbia, SC",3982.350248870073,699160,5570,19694,2579
17980,"Columbus, GA-AL",5573.093819624387,286358,3325,10757,1877
18020,"Columbus, IN",3938.365462937822,73660,335,2435,131
18140,"Columbus, OH",4631.109145866902,1791126,21159,52012,9778
18580,"Corpus Christi, TX",6302.545230934788,416308,4819,20237,1182
18700,"Corvallis, OR",3739.6686557206926,80943,418,2447,162
18880,"Crestview-Fort Walton Beach-Destin, FL",2303.8335825083427,233437,1081,3909,388
19060,"Cumberland, MD-WV",2493.7729806665875,101172,582,1850,91
19100,"Dallas-Fort Worth-Arlington, TX",4746.021971964893,5776543,60942,181844,31370
19140,"Dalton, GA",4152.070807035889,133885,1192,3916,451
19180,"Danville, IL",4141.282274441543,82728,1025,2275,126
19340,"Davenport-Moline-Rock Island, IA-IL",2280.1145689183536,372876,1742,6270,490
19380,"Dayton, OH",4054.9675309344575,804766,7244,21765,3624
19460,"Decatur, AL",3669.8360501081547,148399,1195,3956,295
19500,"Decatur, IL",3404.6613793289703,111083,1314,2245,223
19660,"Deltona-Daytona Beach-Ormond Beach, FL",3088.0251373589795,563305,4341,11235,1819
19740,"Denver-Aurora-Lakewood, CO",4448.228249160111,2332749,18995,65599,19172
19780,"Des Moines-West Des Moines, IA",4132.0761228426045,521578,4107,15886,1559
19820,"Detroit-Warren-Dearborn, MI",3421.4930643946986,4431048,33058,81854,36696
20020,"Dothan, AL",3899.211814728892,136643,1209,3828,291
20100,"Dover, DE",2961.5796936058373,144585,788,3206,288
20220,"Dubuque, IA",2298.1414359528035,90769,494,1487,105
20260,"Duluth, MN-WI",3198.2564821708675,276682,2122,6161,566
20500,"Durham-Chapel Hill, NC",4495.872673673921,458287,5299,13938,1367
20740,"Eau Claire, WI",2266.0181255611756,154809,591,2757,160
20940,"El Centro, CA",3990.0584832781383,156113,2217,2944,1068
21060,"Elizabethtown-Fort Knox, KY",1463.1501601546615,140177,388,1557,106
21140,"Elkhart-Goshen, IN",3753.0820528292465,192242,1381,5325,509
21300,"Elmira, NY",2932.703128516768,88860,421,2120,65
21340,"El Paso, TX",3086.8982147910287,731511,2622,17111,2848
21500,"Erie, PA",2055.1132530815876,277211,1251,4172,274
21660,"Eugene, OR",5502.172223529096,335831,3560,11864,3054
21780,"Evansville, IN-KY",3345.795868932742,303844,1886,7795,485
21820,"Fairbanks, AK",1997.1027634328937,90431,250,1326,230
22020,"Fargo, ND-MN",2214.439285167166,189303,712,3145,335
22140,"Farmington, NM",2674.4866155485583,124809,768,2210,360
22180,"Fayetteville, NC",5720.931722043826,343493,6032,12332,1287
22220,"Fayetteville-Springdale-Rogers, AR-MO",2987.5951929840903,407987,2003,9424,762
22380,"Flagstaff, AZ",4758.905727219051,127025,895,4876,274
22420,"Flint, MI",4096.423115514295,442508,5021,10386,2720
22500,"Florence, SC",5792.124197281678,199167,2824,7878,834
22520,"Florence-Muscle Shoals, AL",2688.617212994983,143717,856,2878,130
22540,"Fond du Lac, WI",1820.8002255858687,99297,248,1497,63
22660,"Fort Collins, CO",2976.9260966283314,275116,1368,6167,655
22900,"Fort Smith, AR-OK",3675.1803470462078,266708,2290,6916,596
23060,"Fort Wayne, IN",3320.8511060410674,403240,2787,9733,871
23420,"Fresno, CA",4801.311219870024,872470,7590,26165,8135
23460,"Gadsden, AL",4635.8578711690925,103174,972,3488,323
23540,"Gainesville, FL",3985.4622390876634,249557,2525,6637,784
23580,"Gainesville, GA",3696.134278384137,160979,1123,4151,676
24020,"Glens Falls, NY",1789.714428936197,127674,424,1799,62
24140,"Goldsboro, NC",4259.501405874761,117009,1339,3388,257
24220,"Grand Forks, ND-MN",3354.572138642012,97777,481,2564,235
24300,"Grand Junction, CO",4080.065133569903,130194,1004,3877,431
24340,"Grand Rapids-Wyoming, MI",2472.821523972585,970713,5228,17291,1485
24500,"Great Falls, MT",4435.226946190078,80041,304,3086,160
24540,"Greeley, CO",4411.362218961858,222879,2277,6585,970
24580,"Green Bay, WI",2340.9703504043127,296800,1291,5250,407
24660,"Greensboro-High Point, NC",4629.290482660837,677080,9091,19963,2290
24780,"Greenville, NC",4894.239804230408,147929,2377,4519,344
24860,"Greenville-Anderson-Mauldin, SC",3143.707866346547,763048,5957,15872,2159
25060,"Gulfport-Biloxi-Pascagoula, MS",3249.2006749855677,360304,3041,7824,842
25180,"Hagerstown-Martinsburg, MD-WV",2380.8913825054015,234198,1084,4061,431
25260,"Hanford-Corcoran, CA",2739.291890290533,145147,835,2508,633
25420,"Harrisburg-Carlisle, PA",2298.321525367315,525775,2194,9303,587
25500,"Harrisonburg, VA",1515.4113994614156,116602,349,1316,102
25540,"Hartford-West Hartford-East Hartford, CT",2688.6286975063326,1187929,5141,22989,3809
25620,"Hattiesburg, MS",3327.392483533514,129050,1245,2755,294
25860,"Hickory-Lenoir-Morganton, NC",3670.3853354002017,354159,4115,7889,995
25980,"Hinesville, GA",3751.5544211008573,76395,684,2058,124
26300,"Hot Springs, AR",7720.205003474635,92096,1809,4794,507
26380,"Houma-Thibodaux, LA",3660.363180964308,199625,1444,5496,367
26420,"Houston-The Woodlands-Sugar Land, TX",4246.459818717958,5234054,52893,139328,30041
26580,"Huntington-Ashland, WV-KY-OH",2376.030773992439,361864,2056,5889,653
26620,"Huntsville, AL",4852.767203985224,372777,4176,12373,1541
26820,"Idaho Falls, ID",2504.130524576621,116208,549,2170,191
26900,"Indianapolis-Carmel-Anderson, IN",3904.546016010522,1772959,14850,44076,10300
26980,"Iowa City, IA",2038.8280974232262,141650,589,2173,126
27060,"Ithaca, NY",2709.36208301067,99433,442,2172,80
27100,"Jackson, MI",2944.5497310591422,163047,1089,3357,355
27140,"Jackson, MS",3745.3973330203767,545336,5321,12609,2495
27180,"Jackson, TN",4950.393051857487,126192,1638,3991,618
27260,"Jacksonville, FL",4526.720637401207,1249072,11947,38688,5907
27340,"Jacksonville, NC",1819.2805572341847,157205,876,1811,173
27500,"Janesville-Beloit, WI",3653.9700563277856,156761,1072,4369,287
27620,"Jefferson City, MO",2638.28314295604,144450,856,2748,207
27740,"Johnson City, TN",3759.342855028491,189182,1587,5131,394
27780,"Johnstown, PA",2265.69144412315,146975,810,2329,191
27860,"Jonesboro, AR",4925.823931775784,112570,2060,3237,248
27900,"Joplin, MO",4826.673086181993,166160,1423,5957,640
28020,"Kalamazoo-Portage, MI",3636.9540509823023,320268,2644,8279,725
28100,"Kankakee, IL",1194.436465061112,107917,371,868,50
28140,"Kansas City, MO-KS",4746.028653607258,1909428,16621,61391,12610
28420,"Kennewick-Richland, WA",3712.6972969518824,219086,1525,5917,692
28660,"Killeen-Temple, TX",3633.2310583918124,357533,3785,8714,491
28700,"Kingsport-Bristol-Bristol, TN-VA",3525.3984047282984,302519,2201,7768,696
28740,"Kingston, NY",1985.8801346210769,182438,585,2867,171
28940,"Knoxville, TN",3168.835505122877,790669,6049,16653,2353
29020,"Kokomo, IN",5080.467398260293,84382,1110,2968,209
29100,"La Crosse-Onalaska, WI-MN",2317.269913314653,129549,427,2457,118
29180,"Lafayette, LA",2406.9716016764473,436399,2279,7473,752
29200,"Lafayette-West Lafayette, IN",3042.1810097700813,188023,1154,4214,352
29340,"Lake Charles, LA",4805.472957518039,192364,3131,5516,597
29460,"Lakeland-Winter Haven, FL",3888.573239820013,547373,5079,14432,1774
29540,"Lancaster, PA",2203.459720812901,494722,2096,8166,639
29620,"Lansing-East Lansing, MI",2938.780273283442,462743,2753,10001,845
29700,"Laredo, TX",5751.375707969943,223703,1660,10219,987
29740,"Las Cruces, NM",3198.7484077611402,189199,1387,4221,444
29820,"Las Vegas-Henderson-Paradise, NV",4570.569209295979,1729522,18299,36675,24075
29940,"Lawrence, KS",4076.4186561444344,105681,720,3402,186
30020,"Lawton, OK",4095.492899773616,121475,1452,3276,247
30140,"Lebanon, PA",2118.9093243104035,126197,486,2004,184
30300,"Lewiston, ID-WA",3692.839824344258,58979,353,1700,125
30340,"Lewiston-Auburn, ME",2684.626276175572,107352,506,2241,135
30460,"Lexington-Fayette, KY",3496.239396838622,436898,3108,11157,1010
30620,"Lima, OH",4430.053995377172,106861,1225,3269,240
30700,"Lincoln, NE",4797.0182401591765,285469,2092,11144,458
30780,"Little Rock-North Little Rock-Conway, AR",5711.916446768108,648784,8629,25800,2629
30860,"Logan, UT-ID",1873.3345176763191,112580,340,1696,73
30980,"Longview, TX",4779.328480956556,203062,2178,6621,906
31020,"Longview, WA",6146.929642827547,96536,1464,3872,598
31080,"Los Angeles-Long Beach-Anaheim, CA",2814.3717938764908,12726428,72263,202208,83698
31140,"Louisville/Jefferson County, KY-IN",3608.6988779740254,1172611,10390,27556,4370
31180,"Lubbock, TX",5334.629803533005,270478,3248,10264,917
31340,"Lynchburg, VA",2839.3351800554015,167504,831,3599,326
31420,"Macon, GA",6360.986301369863,228125,3251,9642,1618
31460,"Madera, CA",2933.441662568686,140313,1133,2170,813
31540,"Madison, WI",2621.3012795007644,573036,2409,11752,860
31700,"Manchester-Nashua, NH",2078.808015520421,396381,1431,6281,528
31900,"Mansfield, OH",4507.375277943065,127724,1386,4082,289
32580,"McAllen-Edinburg-Mission, TX",5206.361058517116,674982,6828,25900,2414
32780,"Medford, OR",3916.774952362854,194701,1241,5897,488
32820,"Memphis, TN-MS-AR",6048.043774789401,1271965,21234,45492,10203
32900,"Merced, CA",3896.451924107622,242554,2308,5730,1413
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",4570.786088275538,5411148,51812,164870,30650
33140,"Michigan City-La Porte, IN",3950.119133475137,109541,569,3453,305
33260,"Midland, TX",3327.7411529343194,126963,893,3127,205
33340,"Milwaukee-Waukesha-West Allis, WI",3544.6215853877225,1522391,7587,38565,7811
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3461.6257471758768,3199046,20091,79238,11410
33540,"Missoula, MT",4372.519501847543,102298,513,3716,244
33660,"Mobile, AL",4742.9503165164015,396188,5110,12119,1562
33700,"Modesto, CA",5435.782568697252,500020,4836,15988,6356
33740,"Monroe, LA",5030.741809441422,172241,2043,6330,292
33780,"Monroe, MI",2371.1394332366413,152374,831,2433,349
33860,"Montgomery, AL",4833.839385042616,358659,4686,11366,1285
34060,"Morgantown, WV",2286.200255133945,119937,680,1944,118
34100,"Morristown, TN",4096.450423850775,107703,830,3156,426
34580,"Mount Vernon-Anacortes, WA",7596.469195811462,110683,1592,6229,587
34620,"Muncie, IN",3171.7017855631716,118170,699,2820,229
34740,"Muskegon, MI",4830.998571494401,173608,1409,6409,569
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4800.704967820107,317745,3000,10801,1453
34900,"Napa, CA",2509.5681119181477,130381,652,2272,348
34940,"Naples-Immokalee-Marco Island, FL",2082.926765804093,307452,1413,4569,422
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",3900.5895547571313,1511310,11099,42561,5290
35300,"New Haven-Milford, CT",3126.7927503830438,847162,4158,18975,3356
35380,"New Orleans-Metairie, LA",4321.001690816156,1231358,11311,33140,8756
35620,"New York-Newark-Jersey City, NY-NJ-PA",1927.6186446293095,19227714,59469,264230,46938
35660,"Niles-Benton Harbor, MI",3270.4561226421047,158510,907,3975,302
35840,"North Port-Sarasota-Bradenton, FL",4005.8865636073433,674757,6242,18794,1994
35980,"Norwich-New London, CT",1388.0236145722083,269664,680,2801,262
36100,"Ocala, FL",2808.0300963901464,303558,2502,5407,615
36140,"Ocean City, NJ",4515.004684241808,99269,899,3429,154
36220,"Odessa, TX",4003.0946418031876,125378,968,3813,238
36260,"Ogden-Clearfield, UT",2909.1421326947457,532425,2443,12003,1043
36420,"Oklahoma City, OK",5303.502602238166,1161308,13426,42037,6127
36500,"Olympia-Tumwater, WA",3783.7575928430156,227023,1793,5983,814
36540,"Omaha-Council Bluffs, NE-IA",4153.337369475224,814309,5426,23328,5067
36740,"Orlando-Kissimmee-Sanford, FL",4199.1641246470745,1955794,20743,52158,9226
36780,"Oshkosh-Neenah, WI",2098.4695046794386,161451,639,2622,127
36980,"Owensboro, KY",2348.6350465151745,111469,609,1922,87
37100,"Oxnard-Thousand Oaks-Ventura, CA",2106.152503723887,794197,3773,10966,1988
37340,"Palm Bay-Melbourne-Titusville, FL",3214.7150349023505,529907,4348,11499,1188
37460,"Panama City, FL",3779.5610471297946,178698,1373,5001,380
37620,"Parkersburg-Vienna, WV",4376.450272516324,92655,889,2929,237
37860,"Pensacola-Ferry Pass-Brent, FL",3221.37296886484,439471,3363,9622,1172
