cbsa_fips,cbsa,clusterz_13,clusterz_11,clusterz_21,clusterz_17,clusterm_13,clusterm_11,clusterm_21,clusterm_17
13900,"Bismarck, ND",3,3,4,4,4,4,9,4
13980,"Blacksburg-Christiansburg-Radford, VA",7,6,8,8,1,1,1,1
14010,"Bloomington, IL",3,3,4,4,6,4,7,7
14020,"Bloomington, IN",7,6,8,8,6,4,7,7
14260,"Boise City, ID",6,5,7,7,4,4,4,4
14460,"Boston-Cambridge-Newton, MA-NH",9,8,14,13,3,3,3,3
14500,"Boulder, CO",7,6,8,8,6,4,7,7
14540,"Bowling Green, KY",1,1,1,1,1,1,1,1
14740,"Bremerton-Silverdale, WA",4,4,5,5,2,2,5,5
14860,"Bridgeport-Stamford-Norwalk, CT",11,8,16,15,2,2,2,2
15180,"Brownsville-Harlingen, TX",8,7,13,12,7,1,10,9
15260,"Brunswick, GA",1,1,3,3,5,5,6,6
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2,2,2,2,2,2,2,2
15500,"Burlington, NC",1,1,1,1,1,1,1,1
15540,"Burlington-South Burlington, VT",3,3,4,4,6,4,7,7
15940,"Canton-Massillon, OH",5,2,6,6,5,5,6,6
15980,"Cape Coral-Fort Myers, FL",12,10,17,16,9,7,15,12
16180,"Carson City, NV",3,3,4,4,4,4,9,4
16220,"Casper, WY",3,3,4,4,4,4,4,4
16300,"Cedar Rapids, IA",4,4,11,10,4,4,4,4
16580,"Champaign-Urbana, IL",7,6,8,8,6,4,7,7
16620,"Charleston, WV",5,2,10,6,5,5,6,6
16700,"Charleston-North Charleston, SC",6,5,7,7,4,4,4,4
16740,"Charlotte-Concord-Gastonia, NC-SC",6,5,12,11,3,3,3,3
16820,"Charlottesville, VA",7,6,8,8,3,3,3,3
16860,"Chattanooga, TN-GA",1,1,1,1,4,4,4,4
16940,"Cheyenne, WY",3,3,9,9,4,4,9,4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2,2,2,2,2,2,2,2
17020,"Chico, CA",3,3,4,4,4,4,9,4
17140,"Cincinnati, OH-KY-IN",2,2,2,2,3,3,3,3
17300,"Clarksville, TN-KY",3,3,9,9,1,1,1,1
17420,"Cleveland, TN",1,1,1,1,1,1,1,1
17460,"Cleveland-Elyria, OH",2,2,2,2,2,2,2,2
17660,"Coeur d'Alene, ID",3,3,4,4,4,4,9,4
17780,"College Station-Bryan, TX",7,6,8,8,6,4,7,7
17820,"Colorado Springs, CO",3,3,9,9,6,4,7,7
17860,"Columbia, MO",7,6,8,8,6,4,7,7
17900,"Columbia, SC",6,5,7,7,4,4,4,4
17980,"Columbus, GA-AL",1,1,3,3,1,1,1,1
18020,"Columbus, IN",1,1,1,1,5,5,16,11
18140,"Columbus, OH",6,5,7,7,4,4,4,4
18580,"Corpus Christi, TX",1,1,1,1,1,1,1,1
18700,"Corvallis, OR",7,6,8,8,6,4,7,7
18880,"Crestview-Fort Walton Beach-Destin, FL",12,10,18,16,9,7,13,12
19060,"Cumberland, MD-WV",5,2,6,6,5,5,6,6
19100,"Dallas-Fort Worth-Arlington, TX",6,5,12,11,4,4,8,8
19140,"Dalton, GA",1,1,1,1,7,1,10,9
19180,"Danville, IL",5,2,10,6,5,5,6,6
19340,"Davenport-Moline-Rock Island, IA-IL",4,4,11,10,5,5,16,11
19380,"Dayton, OH",2,2,2,2,2,2,2,2
19460,"Decatur, AL",1,1,1,1,1,1,1,1
19500,"Decatur, IL",5,2,10,6,5,5,6,6
19660,"Deltona-Daytona Beach-Ormond Beach, FL",3,3,4,4,9,7,15,12
19740,"Denver-Aurora-Lakewood, CO",6,5,12,11,4,4,8,8
19780,"Des Moines-West Des Moines, IA",3,3,4,4,4,4,4,4
19820,"Detroit-Warren-Dearborn, MI",2,2,2,2,2,2,2,2
20020,"Dothan, AL",1,1,1,1,1,1,1,1
20100,"Dover, DE",4,4,5,5,2,2,5,5
20220,"Dubuque, IA",4,4,11,10,5,5,16,11
20260,"Duluth, MN-WI",5,2,6,6,5,5,12,11
20500,"Durham-Chapel Hill, NC",7,6,8,8,4,4,4,4
20740,"Eau Claire, WI",4,4,11,10,4,4,9,4
20940,"El Centro, CA",8,7,13,12,7,1,10,9
21060,"Elizabethtown-Fort Knox, KY",3,3,9,9,1,1,1,1
21140,"Elkhart-Goshen, IN",1,1,1,1,5,5,16,11
21300,"Elmira, NY",5,2,6,6,5,5,6,6
21340,"El Paso, TX",8,7,13,12,7,1,10,9
21500,"Erie, PA",2,2,2,2,5,5,6,6
21660,"Eugene, OR",3,3,4,4,4,4,9,4
21780,"Evansville, IN-KY",5,2,10,6,5,5,6,6
21820,"Fairbanks, AK",3,3,9,9,4,4,8,8
22020,"Fargo, ND-MN",3,3,4,4,6,4,7,7
22140,"Farmington, NM",8,7,13,12,7,1,10,9
22180,"Fayetteville, NC",3,3,9,9,1,1,1,1
22220,"Fayetteville-Springdale-Rogers, AR-MO",6,5,7,7,4,4,4,4
22380,"Flagstaff, AZ",3,3,4,4,9,7,13,12
22420,"Flint, MI",5,2,10,6,10,8,14,13
22500,"Florence, SC",1,1,1,1,1,1,1,1
22520,"Florence-Muscle Shoals, AL",1,1,1,1,1,1,1,1
22540,"Fond du Lac, WI",4,4,11,10,5,5,16,11
22660,"Fort Collins, CO",7,6,8,8,6,4,7,7
22900,"Fort Smith, AR-OK",1,1,1,1,1,1,1,1
23060,"Fort Wayne, IN",4,4,11,10,4,4,4,4
23420,"Fresno, CA",8,7,13,12,7,1,10,9
23460,"Gadsden, AL",5,2,10,6,5,5,6,6
23540,"Gainesville, FL",7,6,8,8,6,4,7,7
23580,"Gainesville, GA",1,1,1,1,7,1,10,9
24020,"Glens Falls, NY",5,2,6,6,5,5,12,11
24140,"Goldsboro, NC",1,1,1,1,1,1,1,1
24220,"Grand Forks, ND-MN",3,3,4,4,4,4,9,4
24300,"Grand Junction, CO",3,3,4,4,4,4,9,4
24340,"Grand Rapids-Wyoming, MI",4,4,11,10,4,4,4,4
24500,"Great Falls, MT",1,1,1,1,4,4,9,4
24540,"Greeley, CO",3,3,9,9,4,4,9,4
24580,"Green Bay, WI",4,4,11,10,4,4,9,4
24660,"Greensboro-High Point, NC",6,5,7,7,4,4,4,4
24780,"Greenville, NC",6,5,7,7,6,4,7,7
24860,"Greenville-Anderson-Mauldin, SC",1,1,1,1,1,1,1,1
25060,"Gulfport-Biloxi-Pascagoula, MS",3,3,9,9,1,1,1,1
25180,"Hagerstown-Martinsburg, MD-WV",4,4,11,10,3,3,3,3
25260,"Hanford-Corcoran, CA",8,7,13,12,7,1,10,9
25420,"Harrisburg-Carlisle, PA",2,2,2,2,2,2,2,2
25500,"Harrisonburg, VA",1,1,1,1,1,1,1,1
25540,"Hartford-West Hartford-East Hartford, CT",2,2,2,2,3,3,3,3
25620,"Hattiesburg, MS",1,1,3,3,1,1,1,1
25860,"Hickory-Lenoir-Morganton, NC",1,1,1,1,1,1,1,1
25980,"Hinesville, GA",3,3,9,9,1,1,1,1
26300,"Hot Springs, AR",1,1,1,1,9,7,15,12
26380,"Houma-Thibodaux, LA",1,1,3,3,1,1,1,1
26420,"Houston-The Woodlands-Sugar Land, TX",6,5,12,11,4,4,8,8
26580,"Huntington-Ashland, WV-KY-OH",5,2,10,6,5,5,6,6
26620,"Huntsville, AL",6,5,7,7,4,4,4,4
26820,"Idaho Falls, ID",3,3,9,9,4,4,9,4
26900,"Indianapolis-Carmel-Anderson, IN",6,5,7,7,10,8,14,13
26980,"Iowa City, IA",7,6,8,8,6,4,7,7
27060,"Ithaca, NY",7,6,8,8,6,4,7,7
27100,"Jackson, MI",5,2,6,6,5,5,6,6
27140,"Jackson, MS",1,1,3,3,1,1,1,1
27180,"Jackson, TN",1,1,1,1,1,1,1,1
27260,"Jacksonville, FL",6,5,7,7,4,4,4,4
27340,"Jacksonville, NC",3,3,9,9,1,1,1,1
27500,"Janesville-Beloit, WI",4,4,11,10,5,5,16,11
27620,"Jefferson City, MO",3,3,4,4,4,4,9,4
27740,"Johnson City, TN",1,1,1,1,1,1,1,1
27780,"Johnstown, PA",5,2,6,6,5,5,6,6
27860,"Jonesboro, AR",1,1,1,1,1,1,1,1
27900,"Joplin, MO",1,1,1,1,5,5,16,11
28020,"Kalamazoo-Portage, MI",4,4,11,10,4,4,4,4
28100,"Kankakee, IL",4,4,11,10,5,5,16,11
28140,"Kansas City, MO-KS",6,5,7,7,4,4,4,4
28420,"Kennewick-Richland, WA",3,3,9,9,4,4,9,4
28660,"Killeen-Temple, TX",3,3,9,9,1,1,1,1
28700,"Kingsport-Bristol-Bristol, TN-VA",1,1,1,1,1,1,1,1
28740,"Kingston, NY",5,2,6,6,3,3,3,3
28940,"Knoxville, TN",1,1,1,1,1,1,1,1
29020,"Kokomo, IN",1,1,1,1,5,5,16,11
29100,"La Crosse-Onalaska, WI-MN",4,4,11,10,5,5,16,11
29180,"Lafayette, LA",1,1,3,3,1,1,1,1
29200,"Lafayette-West Lafayette, IN",7,6,8,8,1,1,1,1
29340,"Lake Charles, LA",1,1,1,1,1,1,1,1
29460,"Lakeland-Winter Haven, FL",12,10,18,16,9,7,15,12
29540,"Lancaster, PA",5,2,6,6,5,5,16,11
29620,"Lansing-East Lansing, MI",4,4,11,10,1,1,1,1
29700,"Laredo, TX",8,7,13,12,7,1,10,9
29740,"Las Cruces, NM",8,7,13,12,7,1,10,9
29820,"Las Vegas-Henderson-Paradise, NV",6,5,12,11,4,4,8,8
29940,"Lawrence, KS",7,6,8,8,6,4,7,7
30020,"Lawton, OK",3,3,9,9,1,1,1,1
30140,"Lebanon, PA",4,4,11,10,5,5,16,11
30300,"Lewiston, ID-WA",3,3,4,4,4,4,9,4
30340,"Lewiston-Auburn, ME",4,4,11,10,5,5,16,11
30460,"Lexington-Fayette, KY",6,5,7,7,3,3,3,3
30620,"Lima, OH",5,2,10,6,5,5,6,6
30700,"Lincoln, NE",3,3,4,4,4,4,4,4
30780,"Little Rock-North Little Rock-Conway, AR",6,5,7,7,4,4,4,4
30860,"Logan, UT-ID",3,3,9,9,4,4,9,4
30980,"Longview, TX",1,1,1,1,1,1,1,1
31020,"Longview, WA",1,1,1,1,4,4,9,4
31080,"Los Angeles-Long Beach-Anaheim, CA",11,8,16,15,11,9,17,14
31140,"Louisville/Jefferson County, KY-IN",6,5,7,7,3,3,3,3
31180,"Lubbock, TX",6,5,7,7,4,4,4,4
31340,"Lynchburg, VA",4,4,11,10,5,5,12,11
31420,"Macon, GA",1,1,3,3,1,1,1,1
31460,"Madera, CA",8,7,13,12,7,1,10,9
31540,"Madison, WI",3,3,4,4,6,4,7,7
31700,"Manchester-Nashua, NH",6,5,12,11,4,4,8,8
31900,"Mansfield, OH",5,2,10,6,5,5,6,6
32580,"McAllen-Edinburg-Mission, TX",8,7,13,12,7,1,10,9
32780,"Medford, OR",3,3,4,4,4,4,9,4
32820,"Memphis, TN-MS-AR",1,1,3,3,1,1,1,1
32900,"Merced, CA",8,7,13,12,7,1,10,9
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6,5,12,11,2,2,2,2
33140,"Michigan City-La Porte, IN",5,2,10,6,5,5,6,6
33260,"Midland, TX",6,5,7,7,4,4,4,4
33340,"Milwaukee-Waukesha-West Allis, WI",2,2,2,2,2,2,2,2
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",6,5,12,11,4,4,8,8
33540,"Missoula, MT",3,3,4,4,6,4,7,7
33660,"Mobile, AL",1,1,3,3,1,1,1,1
33700,"Modesto, CA",8,7,13,12,7,1,10,9
33740,"Monroe, LA",1,1,3,3,1,1,1,1
33780,"Monroe, MI",4,4,11,10,5,5,16,11
33860,"Montgomery, AL",1,1,3,3,1,1,1,1
34060,"Morgantown, WV",6,5,7,7,6,4,7,7
34100,"Morristown, TN",1,1,1,1,1,1,1,1
34580,"Mount Vernon-Anacortes, WA",1,1,1,1,4,4,9,4
34620,"Muncie, IN",1,1,1,1,1,1,1,1
34740,"Muskegon, MI",4,4,5,5,2,2,5,5
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",12,10,18,16,9,7,13,12
34900,"Napa, CA",3,3,19,4,6,4,18,15
34940,"Naples-Immokalee-Marco Island, FL",12,10,17,16,9,7,15,12
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",6,5,7,7,3,3,3,3
35300,"New Haven-Milford, CT",2,2,2,2,2,2,2,2
35380,"New Orleans-Metairie, LA",1,1,20,3,5,5,19,6
35620,"New York-Newark-Jersey City, NY-NJ-PA",9,8,14,13,12,10,20,16
35660,"Niles-Benton Harbor, MI",5,2,10,6,5,5,6,6
35840,"North Port-Sarasota-Bradenton, FL",12,10,17,16,9,7,15,12
35980,"Norwich-New London, CT",5,2,6,6,5,5,12,11
36100,"Ocala, FL",12,10,17,16,9,7,15,12
36140,"Ocean City, NJ",12,10,18,16,9,7,13,12
36220,"Odessa, TX",1,1,3,3,1,1,1,1
36260,"Ogden-Clearfield, UT",3,3,9,9,4,4,9,4
36420,"Oklahoma City, OK",6,5,7,7,4,4,4,4
36500,"Olympia-Tumwater, WA",3,3,4,4,4,4,9,4
36540,"Omaha-Council Bluffs, NE-IA",6,5,7,7,4,4,4,4
36740,"Orlando-Kissimmee-Sanford, FL",6,5,12,11,4,4,8,8
36780,"Oshkosh-Neenah, WI",4,4,11,10,5,5,16,11
36980,"Owensboro, KY",1,1,1,1,5,5,16,11
37100,"Oxnard-Thousand Oaks-Ventura, CA",3,3,19,4,6,4,18,15
37340,"Palm Bay-Melbourne-Titusville, FL",3,3,4,4,9,7,15,12
37460,"Panama City, FL",12,10,18,16,9,7,13,12
37620,"Parkersburg-Vienna, WV",5,2,10,6,5,5,6,6
37860,"Pensacola-Ferry Pass-Brent, FL",3,3,4,4,5,5,6,6
37900,"Peoria, IL",4,4,11,10,5,5,16,11
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9,8,14,13,12,10,20,16
38060,"Phoenix-Mesa-Scottsdale, AZ",6,5,12,11,4,4,4,4
38220,"Pine Bluff, AR",1,1,3,3,1,1,1,1
38300,"Pittsburgh, PA",2,2,2,2,2,2,2,2
38340,"Pittsfield, MA",5,2,6,6,5,5,12,11
38540,"Pocatello, ID",3,3,4,4,4,4,9,4
38860,"Portland-South Portland, ME",5,2,6,6,5,5,12,11
38900,"Portland-Vancouver-Hillsboro, OR-WA",3,3,4,4,4,4,8,8
38940,"Port St. Lucie, FL",12,10,17,16,9,7,15,12
39140,"Prescott, AZ",12,10,17,16,9,7,15,12
39300,"Providence-Warwick, RI-MA",9,8,14,13,8,6,11,10
39340,"Provo-Orem, UT",3,3,9,9,4,4,9,4
39380,"Pueblo, CO",1,1,1,1,4,4,9,4
39460,"Punta Gorda, FL",12,10,17,16,9,7,15,12
39540,"Racine, WI",4,4,11,10,5,5,16,11
39580,"Raleigh, NC",6,5,12,11,4,4,4,4
39660,"Rapid City, SD",3,3,4,4,4,4,9,4
39740,"Reading, PA",5,2,6,6,2,2,5,5
39820,"Redding, CA",3,3,4,4,4,4,4,4
39900,"Reno, NV",6,5,12,11,10,8,14,13
40060,"Richmond, VA",6,5,7,7,8,6,11,10
40140,"Riverside-San Bernardino-Ontario, CA",8,7,13,12,7,1,10,9
40220,"Roanoke, VA",4,4,11,10,1,1,1,1
40340,"Rochester, MN",4,4,11,10,4,4,9,4
40380,"Rochester, NY",2,2,2,2,3,3,3,3
40420,"Rockford, IL",4,4,5,5,2,2,5,5
40580,"Rocky Mount, NC",1,1,1,1,1,1,1,1
40660,"Rome, GA",1,1,1,1,1,1,1,1
40900,"Sacramento--Roseville--Arden-Arcade, CA",3,3,19,4,6,4,18,15
40980,"Saginaw, MI",5,2,10,6,5,5,6,6
41060,"St. Cloud, MN",4,4,11,10,4,4,9,4
41100,"St. George, UT",3,3,4,4,4,4,9,4
41140,"St. Joseph, MO-KS",5,2,6,6,5,5,6,6
41180,"St. Louis, MO-IL",2,2,2,2,2,2,2,2
41420,"Salem, OR",3,3,4,4,4,4,9,4
41500,"Salinas, CA",3,3,19,4,6,4,18,15
41540,"Salisbury, MD-DE",12,10,18,16,9,7,13,12
41620,"Salt Lake City, UT",6,5,12,11,4,4,8,8
41660,"San Angelo, TX",1,1,1,1,1,1,1,1
41700,"San Antonio-New Braunfels, TX",6,5,7,7,4,4,4,4
41740,"San Diego-Carlsbad, CA",3,3,19,4,6,4,18,15
41860,"San Francisco-Oakland-Hayward, CA",11,8,16,15,11,9,17,14
41940,"San Jose-Sunnyvale-Santa Clara, CA",11,8,16,15,11,9,17,14
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",3,3,19,4,6,4,18,15
42100,"Santa Cruz-Watsonville, CA",3,3,19,4,6,4,18,15
42140,"Santa Fe, NM",3,3,4,4,10,8,14,13
42200,"Santa Maria-Santa Barbara, CA",3,3,19,4,6,4,18,15
42220,"Santa Rosa, CA",3,3,19,4,6,4,18,15
42340,"Savannah, GA",6,5,7,7,4,4,4,4
42540,"Scranton--Wilkes-Barre--Hazleton, PA",5,2,6,6,5,5,6,6
42660,"Seattle-Tacoma-Bellevue, WA",11,8,16,15,10,8,14,13
42680,"Sebastian-Vero Beach, FL",12,10,17,16,9,7,15,12
43100,"Sheboygan, WI",4,4,11,10,5,5,16,11
43300,"Sherman-Denison, TX",1,1,1,1,1,1,1,1
43340,"Shreveport-Bossier City, LA",1,1,3,3,1,1,1,1
43580,"Sioux City, IA-NE-SD",1,1,1,1,5,5,16,11
43620,"Sioux Falls, SD",3,3,4,4,4,4,9,4
43780,"South Bend-Mishawaka, IN-MI",4,4,11,10,5,5,6,6
43900,"Spartanburg, SC",1,1,1,1,1,1,1,1
44060,"Spokane-Spokane Valley, WA",3,3,4,4,4,4,9,4
44100,"Springfield, IL",3,3,4,4,4,4,9,4
44140,"Springfield, MA",2,2,2,2,2,2,2,2
44180,"Springfield, MO",3,3,4,4,4,4,4,4
44220,"Springfield, OH",5,2,10,6,5,5,6,6
44300,"State College, PA",7,6,8,8,6,4,7,7
44700,"Stockton-Lodi, CA",8,7,13,12,7,1,10,9
44940,"Sumter, SC",1,1,1,1,1,1,1,1
45060,"Syracuse, NY",2,2,2,2,2,2,2,2
45220,"Tallahassee, FL",6,5,7,7,6,4,7,7
45300,"Tampa-St. Petersburg-Clearwater, FL",6,5,12,11,2,2,2,2
45460,"Terre Haute, IN",5,2,10,6,5,5,6,6
45500,"Texarkana, TX-AR",1,1,1,1,1,1,1,1
45780,"Toledo, OH",2,2,2,2,2,2,2,2
45820,"Topeka, KS",3,3,4,4,4,4,9,4
45940,"Trenton, NJ",13,11,21,17,13,11,21,17
46060,"Tucson, AZ",3,3,4,4,4,4,4,4
46140,"Tulsa, OK",6,5,7,7,4,4,4,4
46220,"Tuscaloosa, AL",1,1,3,3,1,1,1,1
46340,"Tyler, TX",6,5,7,7,4,4,4,4
46520,"Urban Honolulu, HI",11,8,16,15,11,9,17,14
46540,"Utica-Rome, NY",5,2,6,6,5,5,12,11
46660,"Valdosta, GA",1,1,3,3,1,1,1,1
46700,"Vallejo-Fairfield, CA",3,3,19,4,6,4,18,15
47020,"Victoria, TX",1,1,1,1,1,1,1,1
47220,"Vineland-Bridgeton, NJ",4,4,5,5,2,2,5,5
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",4,4,5,5,3,3,3,3
47300,"Visalia-Porterville, CA",8,7,13,12,7,1,10,9
47380,"Waco, TX",1,1,1,1,1,1,1,1
47580,"Warner Robins, GA",3,3,9,9,1,1,1,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9,8,14,13,12,10,20,16
47940,"Waterloo-Cedar Falls, IA",4,4,11,10,5,5,16,11
48140,"Wausau, WI",4,4,11,10,5,5,16,11
48260,"Weirton-Steubenville, WV-OH",5,2,10,6,5,5,6,6
48300,"Wenatchee, WA",3,3,4,4,4,4,9,4
48540,"Wheeling, WV-OH",5,2,6,6,5,5,6,6
48620,"Wichita, KS",4,4,11,10,4,4,4,4
48660,"Wichita Falls, TX",1,1,1,1,1,1,1,1
48700,"Williamsport, PA",5,2,6,6,5,5,12,11
48900,"Wilmington, NC",6,5,7,7,4,4,4,4
49020,"Winchester, VA-WV",1,1,1,1,1,1,1,1
49180,"Winston-Salem, NC",6,5,7,7,4,4,4,4
49340,"Worcester, MA-CT",2,2,2,2,3,3,3,3
49420,"Yakima, WA",8,7,13,12,7,1,10,9
49620,"York-Hanover, PA",5,2,6,6,5,5,16,11
49660,"Youngstown-Warren-Boardman, OH-PA",5,2,6,6,5,5,6,6
49700,"Yuba City, CA",8,7,13,12,7,1,10,9
49740,"Yuma, AZ",8,7,13,12,9,7,13,12
